,female,non-binary,male,unspecified
Masters,0.05556999884443586,6.86657390034194e-06,0.9437400828172844,0.0006830517643794086
Associates,0.16741663585527064,0.0,0.8325833641447293,0.0
Unknown,0.05689382361909451,9.351427760896815e-06,0.9425220349499233,0.0005747900032212276
High School,0.0,0.0,1.0,0.0
Bachelors,0.05342779707872358,1.2338099876798382e-05,0.9454119558190051,0.0011479090023946382
Doctorate,0.06334268871794935,1.1959105282845357e-06,0.931861423848451,0.004794691523071341
Executive Program,0.039841002380014694,0.0,0.9601589976199852,0.0
