,Masters,Associates,Unknown,High School,Bachelors,Doctorate,Executive Program
female,33610861867.5062,158881250.0,20800846389.583344,0,53384783199.718155,19862278746.976196,60562010.66666667
non-binary,4153166.666666667,,3418958.333333333,,12328166.666666668,375000.0,
male,570810117365.6345,790135848.4999999,344593750616.0336,407150176.0,944650819524.7655,292202489800.3299,1459530533.4166665
unspecified,413135846.2896826,0,210147917.69523814,0,1146984838.913492,1503464748.0952384,0
